name,price,category
Вермишель,40,Бакалея
Рожки,42,Бакалея
Перья,45,Бакалея
Спиральки,48,Бакалея
Мука пшеничная,35,Бакалея
Мука ржаная,40,Бакалея
Сахар,30,Бакалея
Соль,20,Бакалея
Перец,25,Бакалея
Маслины,85,Бакалея
Оливки,90,Бакалея
Огурцы солёные,75,Консервы
Помидоры солёные,80,Консервы
Кабачки консервированные,70,Консервы
Баклажаны консервированные,75,Консервы
Перец маринованный,85,Консервы
Капуста квашеная,55,Консервы
Горошек зелёный,60,Консервы
Кукуруза,65,Консервы
Фасоль консервированная,70,Консервы
Тушёнка говяжья,150,Консервы
Тушёнка свиная,140,Консервы
Паштет в банках,95,Консервы
Сгущёнка,80,Консервы
Джем клубничный,90,Консервы
Джем абрикосовый,90,Консервы
Варенье вишнёвое,95,Консервы
Варенье малиновое,100,Консервы
Мёд цветочный,180,Консервы
Мёд липовый,200,Консервы
Майонез,55,Соусы
Кетчуп томатный,45,Соусы
Кетчуп острый,50,Соусы
Кетчуп барбекю,55,Соусы
Горчица,35,Соусы
Хрен,40,Соусы
Соус соевый,60,Соусы
Соус терияки,70,Соусы
Соус чесночный,50,Соусы
Подсолнечное масло,85,Масла
Оливковое масло,250,Масла
Сливочное масло,130,Масла
Маргарин,60,Масла
Семечки солёные,40,Снеки
Семечки жареные,35,Снеки
Фисташки,120,Снеки
Кешью,150,Снеки
Миндаль,140,Снеки
Грецкий орех,100,Снеки
Фундук,110,Снеки
Арахис,90,Снеки
Изюм,85,Сухофрукты
Курага,95,Сухофрукты
Чернослив,90,Сухофрукты
Финики,110,Сухофрукты
Инжир,120,Сухофрукты
Шоколад молочный,85,Кондитерские изделия
Шоколад тёмный,90,Кондитерские изделия
Шоколад белый,95,Кондитерские изделия
Шоколад с орехами,110,Кондитерские изделия
Шоколад с изюмом,105,Кондитерские изделия
Конфеты шоколадные,120,Кондитерские изделия
Конфеты карамельные,60,Кондитерские изделия
Конфеты ириски,70,Кондитерские изделия
Конфеты мармеладные,85,Кондитерские изделия
Леденцы,45,Кондитерские изделия
Чупа-чупс,30,Кондитерские изделия
Кофе в зернах,350,Напитки
Кофе молотый,280,Напитки
Кофе растворимый,200,Напитки
Какао-порошок,150,Напитки
Чай чёрный листовой,120,Напитки
Чай зелёный листовой,130,Напитки
Чай с бергамотом,135,Напитки
Чай фруктовый,140,Напитки
Чай каркаде,110,Напитки
Яйца куриные,60,Молочные продукты
Яйца перепелиные,120,Молочные продукты
Курица филе,180,Мясные изделия
Курица грудка,150,Мясные изделия
Курица голень,130,Мясные изделия
Курица бедро,140,Мясные изделия
Курица крыло,120,Мясные изделия
Индейка филе,200,Мясные изделия
Индейка грудка,180,Мясные изделия
Свинина вырезка,250,Мясные изделия
Свинина лопатка,220,Мясные изделия
Свинина окорок,240,Мясные изделия
Говядина вырезка,300,Мясные изделия
Говядина лопатка,260,Мясные изделия
Говядина гуляш,230,Мясные изделия
Баранина,280,Мясные изделия
Конина,250,Мясные изделия
Стейк говяжий,350,Мясные изделия
Стейк свиной,280,Мясные изделия
Пельмени,150,Полуфабрикаты
Пельмени с мясом,160,Полуфабрикаты
Пельмени с курицей,140,Полуфабрикаты
Вареники с картошкой,120,Полуфабрикаты
Вареники с вишней,130,Полуфабрикаты
Вареники с творогом,140,Полуфабрикаты
Манты,170,Полуфабрикаты
Хинкали,160,Полуфабрикаты
Котлеты,110,Полуфабрикаты
Шницель,120,Полуфабрикаты
Фарш говяжий,130,Полуфабрикаты
Фарш свиной,120,Полуфабрикаты
Фарш куриный,110,Полуфабрикаты
Нагетсы,114,Полуфабрикаты
Крокеты,95,Полуфабрикаты
Сырники,90,Полуфабрикаты
Блинчики с мясом,100,Полуфабрикаты
Блинчики с творогом,95,Полуфабрикаты
Блинчики с вишней,105,Полуфабрикаты
Оладьи,85,Полуфабрикаты
Панкейки,90,Полуфабрикаты
Салфетки бумажные,35,Хозтовары
Салфетки влажные,45,Хозтовары
Туалетная бумага,55,Хозтовары
Мыло туалетное,30,Хозтовары
Мыло хозяйственное,25,Хозтовары
Шампунь,120,Хозтовары
Гель для душа,110,Хозтовары
Зубная паста,65,Хозтовары
Зубная щётка,70,Хозтовары
Дезодорант,130,Хозтовары
Порошок стиральный,180,Хозтовары
Гель для стирки,160,Хозтовары
Средство для мытья посуды,75,Хозтовары
Губки для посуды,40,Хозтовары
Моющее средство для пола,90,Хозтовары
Освежитель воздуха,55,Хозтовары
Чистящее средство,85,Хозтовары
Отбеливатель,70,Хозтовары
Кондиционер для белья,130,Хозтовары
Сковорода,250,Посуда
Кастрюля,300,Посуда
Тарелка суповая,120,Посуда
Тарелка обеденная,140,Посуда
Чашка чайная,90,Посуда
Кружка кофейная,100,Посуда
Стакан,60,Посуда
Нож,150,Посуда
Вилка,80,Посуда
Ложка столовая,90,Посуда
Ложка чайная,70,Посуда
Полотенце кухонное,130,Посуда
Термос,200,Посуда
Контейнер для еды,110,Посуда
Френч-пресс,180,Посуда
Ковш,160,Посуда
Скалка,140,Посуда
Доска разделочная,120,Посуда
Алюминиевая фольга,50,Посуда
Плёнка пищевая,55,Посуда
Перчатки резиновые,45,Хозтовары
Фартук кухонный,80,Хозтовары
Прихватка,60,Хозтовары
Бумага для выпечки,40,Посуда
Зубочистки,25,Хозтовары
Спички,15,Хозтовары
Зажигалка,30,Хозтовары
Пипетка,20,Хозтовары
Лейка садовая,85,Товары для дома
Ведро пластиковое,70,Товары для дома
Тазик,65,Товары для дома
Щётка для обуви,55,Товары для дома
Крем для обуви,75,Товары для дома
Губка для обуви,30,Товары для дома
Скребок для стекла,60,Товары для дома
Тряпка для пыли,35,Товары для дома
Швабра,120,Товары для дома
Совок,40,Товары для дома
Горшок цветочный,90,Товары для дома
Ваза,160,Товары для дома
Светильник,220,Товары для дома
Лампа,180,Товары для дома
Батарейка AA,40,Товары для дома
Батарейка AAA,40,Товары для дома
Свеча,55,Товары для дома
Аромасвеча,100,Товары для дома
Палочки для суши,30,Посуда
Дуршлаг,140,Посуда
Солонка,50,Посуда
Перечница,50,Посуда
Маслёнка,70,Посуда
Сахарница,60,Посуда
Хлебница,150,Посуда
Салатница,130,Посуда
Блюдо,110,Посуда
Крючок для одежды,40,Товары для дома
Вешалка,35,Товары для дома
Зеркало настенное,180,Товары для дома
Коврик в прихожую,150,Товары для дома
Половик,120,Товары для дома
Плед,200,Товары для дома
Подушка,160,Товары для дома
Одеяло,250,Товары для дома
Наволочка,70,Товары для дома
Простыня,110,Товары для дома
Пододеяльник,130,Товары для дома
Полотенце банное,140,Товары для дома
Полотенце для лица,80,Товары для дома
Тапочки,120,Товары для дома
Носки мужские,90,Товары для дома
Носки женские,85,Товары для дома
Колготки,150,Товары для дома
Брелок,60,Аксессуары
Ключница,80,Аксессуары
Кошелёк,180,Аксессуары
Рюкзак,300,Аксессуары
Сумка,250,Аксессуары
Зонт,200,Аксессуары
Очки для чтения,150,Аксессуары
Фотоальбом,120,Канцелярия
Блокнот,55,Канцелярия
Тетрадь,45,Канцелярия
Ручка,30,Канцелярия
Карандаш,25,Канцелярия
Фломастер,60,Канцелярия
Маркер,50,Канцелярия
Ластик,20,Канцелярия
Точилка,15,Канцелярия
Линейка,35,Канцелярия
Скрепки,30,Канцелярия
Скотч,55,Канцелярия
Клей,45,Канцелярия
Ножницы,80,Канцелярия
Степлер,90,Канцелярия
Дырокол,100,Канцелярия
Папка,50,Канцелярия
Обложка,40,Канцелярия
Ежедневник,120,Канцелярия
Календарь,80,Канцелярия
Глобус,250,Канцелярия
Шарики для ручки,35,Канцелярия
Альбом для рисования,55,Канцелярия
Краски акварельные,120,Канцелярия
Краски гуашь,100,Канцелярия
Кисточки,70,Канцелярия
Пластилин,90,Канцелярия
Цветная бумага,45,Канцелярия
Картон цветной,40,Канцелярия
Наклейки,35,Канцелярия
Детская игрушка,150,Игрушки
Конструктор,200,Игрушки
Пазл,120,Игрушки
Машинка,100,Игрушки
Кукла,180,Игрушки
Мяч,90,Игрушки
Пирамидка,70,Игрушки
Кубики,60,Игрушки
Лото,130,Игрушки
Домино,110,Игрушки
Шахматы,280,Игрушки
Шашки,220,Игрушки
Настольная игра,250,Игрушки
Мыльные пузыри,40,Игрушки
Воздушный шар,35,Игрушки
Смартфон дешёвый,3000,Электроника
Зарядное устройство,500,Электроника
Наушники,400,Электроника
USB-кабель,150,Электроника
Флешка,300,Электроника
Внешний аккумулятор,800,Электроника
Сетевой фильтр,250,Электроника
Розетка-таймер,350,Электроника
Светодиодная лента,200,Электроника
Лампочка LED,80,Электроника
Диодная лента,180,Электроника
Батарейка 18650,150,Электроника
Книга детектив,200,Книги
Книга фантастика,220,Книги
Книга роман,210,Книги
Книга бизнес,250,Книги
Книга психология,230,Книги
Книга кулинария,240,Книги
Книга детская,180,Книги
Книга энциклопедия,300,Книги
Книга словарь,160,Книги
Книга раскраска,90,Книги
Журнал,80,Книги
Газета,40,Книги
Букет цветов,400,Цветы
Розы,250,Цветы
Тюльпаны,180,Цветы
Лилия,220,Цветы
Ромашка,120,Цветы
Гортензия,300,Цветы
Орхидея,350,Цветы
Хризантема,200,Цветы
Гербера,180,Цветы
Гвоздика,150,Цветы
Корм для кошек,150,Зоотовары
Корм для собак,160,Зоотовары
Наполнитель для лотка,120,Зоотовары
Поводок,100,Зоотовары
Ошейник,110,Зоотовары
Игрушка для кошек,80,Зоотовары
Игрушка для собак,90,Зоотовары
Миска,70,Зоотовары
Когтеточка,200,Зоотовары
Лежанка,180,Зоотовары
Аквариум,500,Зоотовары
Корм для рыбок,80,Зоотовары
Посуда для животных,90,Зоотовары
Переноска,250,Зоотовары
Груминг-набор,300,Зоотовары
Шампунь для животных,130,Зоотовары
Сухой корм премиум,200,Зоотовары
Витамины для животных,150,Зоотовары
Сено для грызунов,100,Зоотовары
Опилки,80,Зоотовары
Клетка,350,Зоотовары
Набор игрушек в коробке,150,Подарки
Подарочный пакет,70,Подарки
Открытка,50,Подарки
Брелок с именем,90,Подарки
Магнит на холодильник,60,Подарки
Кружка с надписью,120,Подарки
Футболка с принтом,250,Подарки
Кепка,180,Подарки
Шарф,200,Подарки
Варежки,150,Подарки
Шапка зимняя,180,Подарки
Перчатки,130,Подарки
Носки с принтом,100,Подарки
Сумка-шоппер,200,Подарки
Термокружка,160,Подарки
Бейсболка,140,Подарки
Ключница с крючками,110,Подарки
Зеркальце карманное,80,Подарки
Расчёска,70,Подарки
Щипцы для волос,150,Подарки
Фен для волос,300,Подарки
Утюжок для волос,250,Подарки
Крем для рук,120,Косметика
Крем для лица,200,Косметика
Крем для ног,150,Косметика
Лосьон для тела,180,Косметика
Тоник для лица,160,Косметика
Маска для лица,140,Косметика
Скраб для тела,130,Косметика
Гель для душа,110,Косметика
Шампунь от перхоти,150,Косметика
Бальзам для волос,140,Косметика
Спрей для волос,130,Косметика
Лак для волос,120,Косметика
Пена для бритья,100,Косметика
Станок для бритья,180,Косметика
Дезодорант-стик,140,Косметика
Духи женские,300,Косметика
Духи мужские,280,Косметика
Помада,150,Косметика
Тушь для ресниц,180,Косметика
Тени для век,140,Косметика
Карандаш для глаз,100,Косметика
Карандаш для губ,100,Косметика
Набор кистей для макияжа,250,Косметика
Ватные диски,45,Косметика
Ватные палочки,40,Косметика
Патчи для глаз,130,Косметика
Маска для волос,160,Косметика
Мыло ручной работы,200,Косметика
Бомбочки для ванны,180,Косметика
Соль для ванны,120,Косметика
Пена для ванны,150,Косметика
Зубная нить,60,Косметика
Ополаскиватель для рта,90,Косметика
Средство для снятия макияжа,140,Косметика
Подставка для телефона,120,Аксессуары
Держатель для телефона,150,Аксессуары
Автомобильное зарядное,250,Аксессуары
Держатель для карт,100,Аксессуары
Попугай волнистый,500,Зоотовары
Хомяк,400,Зоотовары
Рыбки аквариумные,100,Зоотовары
Черепаха,300,Зоотовары
Кролик декоративный,600,Зоотовары
Морская свинка,450,Зоотовары
Хорек,700,Зоотовары
Попугай корелла,800,Зоотовары
Корм для попугаев,120,Зоотовары
Ветка для грызунов,80,Зоотовары
